date,deaths,vaccines
2021/2/5,0,0
2021/2/6,0,0
2021/2/7,0,0
2021/2/8,0,0
2021/2/9,0,0
2021/2/10,0,0
2021/2/11,0,0
2021/2/12,0,0
2021/2/13,0,0
2021/2/14,0,0
2021/2/15,0,0
2021/2/16,0,0
2021/2/17,0,0
2021/2/18,0,0
2021/2/19,0,0
2021/2/20,0,0
2021/2/21,0,20
2021/2/22,0,1816
2021/2/23,0,951
2021/2/24,0,4139
2021/2/25,0,4981
2021/2/26,0,5082
2021/2/27,0,2538
2021/2/28,0,544
2021/3/1,0,3560
2021/3/2,0,4943
2021/3/3,0,6643
2021/3/4,0,7791
2021/3/5,0,7992
2021/3/6,0,5073
2021/3/7,0,1405
2021/3/8,0,4896
2021/3/9,0,7081
2021/3/10,0,11292
2021/3/11,0,14253
2021/3/12,0,10109
2021/3/13,0,15899
2021/3/14,0,1783
2021/3/15,0,2230
2021/3/16,0,10725
2021/3/17,0,22204
2021/3/18,0,18107
2021/3/19,0,14697
2021/3/20,0,13077
2021/3/21,0,2951
2021/3/22,0,16810
2021/3/23,0,23021
2021/3/24,0,12779
2021/3/25,0,16347
2021/3/26,0,32342
2021/3/27,0,13973
2021/3/28,0,5056
2021/3/29,0,12313
2021/3/30,0,17985
2021/3/31,0,22223
2021/4/1,0,40034
2021/4/2,0,26366
2021/4/3,0,4446
2021/4/4,0,5100
2021/4/5,0,1197
2021/4/6,0,4747
2021/4/7,0,23379
2021/4/8,0,25055
2021/4/9,0,567556
2021/4/10,0,61355
2021/4/11,0,27702
2021/4/12,0,11734
2021/4/13,1,15729
2021/4/14,0,101641
2021/4/15,0,63633
2021/4/16,0,61272
2021/4/17,0,53960
2021/4/18,0,22071
2021/4/19,0,89644
2021/4/20,0,67034
2021/4/21,0,64821
2021/4/22,0,67591
2021/4/23,0,69903
2021/4/24,0,58446
2021/4/25,0,20040
2021/4/26,0,3398
2021/4/27,0,31852
2021/4/28,0,60207
2021/4/29,0,82741
2021/4/30,0,67259
2021/5/1,0,55300
2021/5/2,0,19230
2021/5/3,0,6541
2021/5/4,0,56354
2021/5/5,0,79345
2021/5/6,0,77215
2021/5/7,0,81002
2021/5/8,0,73194
2021/5/9,0,26613
2021/5/10,0,8883
2021/5/11,0,72886
2021/5/12,0,76379
2021/5/13,0,82284
2021/5/14,0,85874
2021/5/15,0,76153
2021/5/16,0,32387
2021/5/17,0,10953
2021/5/18,0,83187
2021/5/19,0,95530
2021/5/20,0,92874
2021/5/21,0,101146
2021/5/22,0,90621
2021/5/23,0,37469
2021/5/24,0,13089
2021/5/25,0,76569
2021/5/26,0,104658
2021/5/27,0,111388
2021/5/28,0,124870
2021/5/29,0,121611
2021/5/30,0,57952
2021/5/31,0,32499
2021/6/1,0,119139
2021/6/2,0,138705
2021/6/3,0,141259
2021/6/4,0,143659
2021/6/5,0,141245
2021/6/6,0,88745
2021/6/7,0,60061
2021/6/8,0,127564
2021/6/9,0,140885
2021/6/10,0,142808
2021/6/11,0,153338
2021/6/12,0,132916
2021/6/13,0,60822
2021/6/14,0,32553
2021/6/15,0,63946
2021/6/16,0,152075
2021/6/17,0,136010
2021/6/18,0,141336
2021/6/19,0,130810
2021/6/20,0,64553
2021/6/21,0,34712
2021/6/22,0,128643
2021/6/23,0,140892
2021/6/24,0,138922
2021/6/25,0,138434
2021/6/26,0,119973
2021/6/27,0,68715
2021/6/28,0,48346
2021/6/29,0,126034
2021/6/30,0,144885
2021/7/1,0,161390
2021/7/2,0,163178
2021/7/3,0,151496
2021/7/4,0,79718
2021/7/5,0,54106
2021/7/6,0,146718
2021/7/7,0,165475
2021/7/8,0,139133
2021/7/9,0,164773
2021/7/10,0,140975
2021/7/11,1,85422
2021/7/12,0,51848
2021/7/13,1,154209
2021/7/14,0,165119
2021/7/15,0,162662
2021/7/16,0,175002
2021/7/17,1,163937
2021/7/18,1,96700
2021/7/19,1,58087
2021/7/20,0,169911
2021/7/21,0,174589
2021/7/22,0,184530
2021/7/23,1,196430
2021/7/24,0,181842
2021/7/25,0,107676
2021/7/26,2,70936
2021/7/27,2,185337
2021/7/28,1,196982
2021/7/29,2,201470
2021/7/30,0,210742
2021/7/31,1,200706
2021/8/1,0,110973
2021/8/2,1,76236
2021/8/3,0,200558
2021/8/4,2,213947
2021/8/5,5,221859
2021/8/6,1,240039
2021/8/7,5,226059
2021/8/8,1,140225
2021/8/9,0,86566
2021/8/10,4,234899
2021/8/11,2,255964
2021/8/12,2,262314
2021/8/13,2,270898
2021/8/14,4,264802
2021/8/15,5,163176
2021/8/16,8,163727
2021/8/17,1,279465
2021/8/18,3,273869
2021/8/19,1,309010
