Date,New deaths / day,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2020/3/1,1,0,0,0,0,1,0,0,0
2020/3/2,0,0,0,0,0,0,0,0,0
2020/3/3,0,0,0,0,0,0,0,0,0
2020/3/4,1,1,0,0,0,0,0,0,0
2020/3/5,0,0,0,0,0,0,0,0,0
2020/3/6,0,0,0,0,0,0,0,0,0
2020/3/7,0,0,0,0,0,0,0,0,0
2020/3/8,1,1,0,0,0,0,0,0,0
2020/3/9,0,0,0,0,0,0,0,0,0
2020/3/10,0,0,0,0,0,0,0,0,0
2020/3/11,0,0,0,0,0,0,0,0,0
2020/3/12,0,0,0,0,0,0,0,0,0
2020/3/13,1,0,0,1,0,0,0,0,0
2020/3/14,0,0,0,0,0,0,0,0,0
2020/3/15,2,2,0,0,0,0,0,0,0
2020/3/16,0,0,0,0,0,0,0,0,0
2020/3/17,0,0,0,0,0,0,0,0,0
2020/3/18,1,1,0,0,0,0,0,0,0
2020/3/19,0,0,0,0,0,0,0,0,0
2020/3/20,1,1,0,0,0,0,0,0,0
2020/3/21,0,0,0,0,0,0,0,0,0
2020/3/22,0,0,0,0,0,0,0,0,0
2020/3/23,0,0,0,0,0,0,0,0,0
2020/3/24,1,1,0,0,0,0,0,0,0
2020/3/25,1,0,0,1,0,0,0,0,0
2020/3/26,4,0,3,0,0,1,0,0,0
2020/3/27,0,0,0,0,0,0,0,0,0
2020/3/28,1,1,0,0,0,0,0,0,0
2020/3/29,2,0,1,1,0,0,0,0,0
2020/3/30,2,0,0,0,0,0,1,0,1
2020/3/31,1,0,0,0,0,0,1,0,0
2020/4/1,1,1,0,0,0,0,0,0,0
2020/4/2,4,1,2,1,0,0,0,0,0
2020/4/3,4,2,1,0,0,1,0,0,0
2020/4/4,2,0,1,0,0,0,0,0,1
2020/4/5,5,4,0,1,0,0,0,0,0
2020/4/6,5,2,2,0,0,1,0,0,0
2020/4/7,8,3,1,0,1,2,1,0,0
2020/4/8,2,0,1,0,1,0,0,0,0
2020/4/9,1,0,0,0,1,0,0,0,0
2020/4/10,3,1,1,0,0,0,1,0,0
2020/4/11,2,1,1,0,0,0,0,0,0
2020/4/12,3,1,0,0,1,0,1,0,0
2020/4/13,2,2,0,0,0,0,0,0,0
2020/4/14,1,0,0,0,0,0,1,0,0
2020/4/15,1,0,0,0,0,0,0,0,1
2020/4/16,0,0,0,0,0,0,0,0,0
2020/4/17,2,0,0,0,0,1,1,0,0
2020/4/18,3,1,0,1,0,0,1,0,0
2020/4/19,2,1,1,0,0,0,0,0,0
2020/4/20,1,1,0,0,0,0,0,0,0
2020/4/21,0,0,0,0,0,0,0,0,0
2020/4/22,3,3,0,0,0,0,0,0,0
2020/4/23,1,0,1,0,0,0,0,0,0
2020/4/24,3,1,0,0,0,1,1,0,0
2020/4/25,2,1,0,0,0,0,1,0,0
2020/4/26,3,1,1,0,0,0,1,0,0
2020/4/27,0,0,0,0,0,0,0,0,0
2020/4/28,1,1,0,0,0,0,0,0,0
2020/4/29,5,4,1,0,0,0,0,0,0
2020/4/30,2,1,0,0,0,0,1,0,0
2020/5/1,2,1,0,0,0,0,1,0,0
2020/5/2,0,0,0,0,0,0,0,0,0
2020/5/3,2,1,0,0,0,1,0,0,0
2020/5/4,0,0,0,0,0,0,0,0,0
2020/5/5,2,2,0,0,0,0,0,0,0
2020/5/6,0,0,0,0,0,0,0,0,0
2020/5/7,0,0,0,0,0,0,0,0,0
2020/5/8,0,0,0,0,0,0,0,0,0
2020/5/9,0,0,0,0,0,0,0,0,0
2020/5/10,0,0,0,0,0,0,0,0,0
2020/5/11,0,0,0,0,0,0,0,0,0
2020/5/12,0,0,0,0,0,0,0,0,0
2020/5/13,1,1,0,0,0,0,0,0,0
2020/5/14,0,0,0,0,0,0,0,0,0
2020/5/15,0,0,0,0,0,0,0,0,0
2020/5/16,0,0,0,0,0,0,0,0,0
2020/5/17,0,0,0,0,0,0,0,0,0
2020/5/18,1,1,0,0,0,0,0,0,0
2020/5/19,0,0,0,0,0,0,0,0,0
2020/5/20,1,1,0,0,0,0,0,0,0
2020/5/21,0,0,0,0,0,0,0,0,0
2020/5/22,1,1,0,0,0,0,0,0,0
2020/5/23,1,0,1,0,0,0,0,0,0
2020/5/24,0,0,0,0,0,0,0,0,0
2020/5/25,0,0,0,0,0,0,0,0,0
2020/5/26,0,0,0,0,0,0,0,0,0
2020/5/27,0,0,0,0,0,0,0,0,0
2020/5/28,0,0,0,0,0,0,0,0,0
2020/5/29,0,0,0,0,0,0,0,0,0
2020/5/30,0,0,0,0,0,0,0,0,0
2020/5/31,0,0,0,0,0,0,0,0,0
2020/6/1,0,0,0,0,0,0,0,0,0
2020/6/2,0,0,0,0,0,0,0,0,0
2020/6/3,0,0,0,0,0,0,0,0,0
2020/6/4,0,0,0,0,0,0,0,0,0
2020/6/5,0,0,0,0,0,0,0,0,0
2020/6/6,0,0,0,0,0,0,0,0,0
2020/6/7,0,0,0,0,0,0,0,0,0
2020/6/8,0,0,0,0,0,0,0,0,0
2020/6/9,0,0,0,0,0,0,0,0,0
2020/6/10,0,0,0,0,0,0,0,0,0
2020/6/11,0,0,0,0,0,0,0,0,0
2020/6/12,0,0,0,0,0,0,0,0,0
2020/6/13,0,0,0,0,0,0,0,0,0
2020/6/14,0,0,0,0,0,0,0,0,0
2020/6/15,0,0,0,0,0,0,0,0,0
2020/6/16,0,0,0,0,0,0,0,0,0
2020/6/17,0,0,0,0,0,0,0,0,0
2020/6/18,0,0,0,0,0,0,0,0,0
2020/6/19,0,0,0,0,0,0,0,0,0
2020/6/20,0,0,0,0,0,0,0,0,0
2020/6/21,0,0,0,0,0,0,0,0,0
2020/6/22,0,0,0,0,0,0,0,0,0
2020/6/23,0,0,0,0,0,0,0,0,0
2020/6/24,1,0,1,0,0,0,0,0,0
2020/6/25,1,1,0,0,0,0,0,0,0
2020/6/26,0,0,0,0,0,0,0,0,0
2020/6/27,0,0,0,0,0,0,0,0,0
2020/6/28,0,0,0,0,0,0,0,0,0
2020/6/29,0,0,0,0,0,0,0,0,0
2020/6/30,0,0,0,0,0,0,0,0,0
2020/7/1,0,0,0,0,0,0,0,0,0
2020/7/2,0,0,0,0,0,0,0,0,0
2020/7/3,0,0,0,0,0,0,0,0,0
2020/7/4,0,0,0,0,0,0,0,0,0
2020/7/5,0,0,0,0,0,0,0,0,0
2020/7/6,2,0,2,0,0,0,0,0,0
2020/7/7,0,0,0,0,0,0,0,0,0
2020/7/8,0,0,0,0,0,0,0,0,0
2020/7/9,0,0,0,0,0,0,0,0,0
2020/7/10,0,0,0,0,0,0,0,0,0
2020/7/11,1,0,1,0,0,0,0,0,0
2020/7/12,1,0,1,0,0,0,0,0,0
2020/7/13,0,0,0,0,0,0,0,0,0
2020/7/14,2,0,2,0,0,0,0,0,0
2020/7/15,1,0,1,0,0,0,0,0,0
2020/7/16,2,0,2,0,0,0,0,0,0
2020/7/17,3,0,3,0,0,0,0,0,0
2020/7/18,3,0,3,0,0,0,0,0,0
2020/7/19,3,0,3,0,0,0,0,0,0
2020/7/20,1,0,1,0,0,0,0,0,0
2020/7/21,3,0,3,0,0,0,0,0,0
2020/7/22,2,0,2,0,0,0,0,0,0
2020/7/23,5,0,5,0,0,0,0,0,0
2020/7/24,7,0,7,0,0,0,0,0,0
2020/7/25,5,0,5,0,0,0,0,0,0
2020/7/26,10,0,10,0,0,0,0,0,0
2020/7/27,6,0,6,0,0,0,0,0,0
2020/7/28,6,0,6,0,0,0,0,0,0
2020/7/29,9,0,9,0,0,0,0,0,0
2020/7/30,13,0,13,0,0,0,0,0,0
2020/7/31,8,0,8,0,0,0,0,0,0
2020/8/1,4,1,3,0,0,0,0,0,0
2020/8/2,7,0,7,0,0,0,0,0,0
2020/8/3,13,0,13,0,0,0,0,0,0
2020/8/4,11,0,11,0,0,0,0,0,0
2020/8/5,15,0,15,0,0,0,0,0,0
2020/8/6,8,0,8,0,0,0,0,0,0
2020/8/7,11,0,11,0,0,0,0,0,0
2020/8/8,12,0,12,0,0,0,0,0,0
2020/8/9,17,0,17,0,0,0,0,0,0
2020/8/10,19,0,19,0,0,0,0,0,0
2020/8/11,19,0,19,0,0,0,0,0,0
2020/8/12,21,0,21,0,0,0,0,0,0
2020/8/13,9,1,8,0,0,0,0,0,0
2020/8/14,14,0,14,0,0,0,0,0,0
2020/8/15,4,0,4,0,0,0,0,0,0
2020/8/16,17,1,16,0,0,0,0,0,0
2020/8/17,25,0,25,0,0,0,0,0,0
2020/8/18,17,0,17,0,0,0,0,0,0
2020/8/19,13,0,13,0,0,0,0,0,0
2020/8/20,13,0,13,0,0,0,0,0,0
2020/8/21,9,0,9,0,0,0,0,0,0
2020/8/22,13,0,13,0,0,0,0,0,0
2020/8/23,17,0,17,0,0,0,0,0,0
2020/8/24,15,0,15,0,0,0,0,0,0
2020/8/25,8,0,8,0,0,0,0,0,0
2020/8/26,24,0,24,0,0,0,0,0,0
2020/8/27,22,0,22,0,0,0,0,0,0
2020/8/28,11,0,11,0,0,0,0,0,0
2020/8/29,18,0,18,0,0,0,0,0,0
2020/8/30,11,0,11,0,0,0,0,0,0
2020/8/31,41,0,41,0,0,0,0,0,0
2020/9/1,5,0,5,0,0,0,0,0,0
2020/9/2,6,0,6,0,0,0,0,0,0
2020/9/3,15,0,15,0,0,0,0,0,0
2020/9/4,59,0,59,0,0,0,0,0,0
2020/9/5,11,0,11,0,0,0,0,0,0
2020/9/6,5,0,5,0,0,0,0,0,0
2020/9/7,9,0,9,0,0,0,0,0,0
2020/9/8,8,0,8,0,0,0,0,0,0
2020/9/9,11,0,11,0,0,0,0,0,0
2020/9/10,7,0,7,0,0,0,0,0,0
2020/9/11,9,0,9,0,0,0,0,0,0
2020/9/12,6,0,6,0,0,0,0,0,0
2020/9/13,6,0,6,0,0,0,0,0,0
2020/9/14,7,0,7,0,0,0,0,0,0
2020/9/15,0,0,0,0,0,0,0,0,0
2020/9/16,8,0,8,0,0,0,0,0,0
2020/9/17,8,0,8,0,0,0,0,0,0
2020/9/18,5,0,5,0,0,0,0,0,0
2020/9/19,6,0,6,0,0,0,0,0,0
2020/9/20,6,1,5,0,0,0,0,0,0
2020/9/21,2,0,2,0,0,0,0,0,0
2020/9/22,3,0,3,0,0,0,0,0,0
2020/9/23,5,0,5,0,0,0,0,0,0
2020/9/24,2,0,2,0,0,0,0,0,0
2020/9/25,8,0,8,0,0,0,0,0,0
2020/9/26,1,0,1,0,0,0,0,0,0
2020/9/27,2,0,2,0,0,0,0,0,0
2020/9/28,3,0,3,0,0,0,0,0,0
2020/9/29,7,0,7,0,0,0,0,0,0
2020/9/30,4,0,4,0,0,0,0,0,0
2020/10/1,2,0,2,0,0,0,0,0,0
2020/10/2,2,0,2,0,0,0,0,0,0
2020/10/3,3,0,3,0,0,0,0,0,0
2020/10/4,1,0,1,0,0,0,0,0,0
2020/10/5,0,0,0,0,0,0,0,0,0
2020/10/6,1,0,1,0,0,0,0,0,0
2020/10/7,2,0,2,0,0,0,0,0,0
2020/10/8,0,0,0,0,0,0,0,0,0
2020/10/9,0,0,0,0,0,0,0,0,0
2020/10/10,0,0,0,0,0,0,0,0,0
2020/10/11,1,0,1,0,0,0,0,0,0
2020/10/12,0,0,0,0,0,0,0,0,0
2020/10/13,1,0,1,0,0,0,0,0,0
2020/10/14,5,0,5,0,0,0,0,0,0
2020/10/15,0,0,0,0,0,0,0,0,0
2020/10/16,0,0,0,0,0,0,0,0,0
2020/10/17,0,0,0,0,0,0,0,0,0
2020/10/18,0,0,0,0,0,0,0,0,0
2020/10/19,1,0,1,0,0,0,0,0,0
2020/10/20,0,0,0,0,0,0,0,0,0
2020/10/21,0,0,0,0,0,0,0,0,0
2020/10/22,0,0,0,0,0,0,0,0,0
2020/10/23,0,0,0,0,0,0,0,0,0
2020/10/24,0,0,0,0,0,0,0,0,0
2020/10/25,0,0,0,0,0,0,0,0,0
2020/10/26,0,0,0,0,0,0,0,0,0
2020/10/27,0,0,0,0,0,0,0,0,0
2020/10/28,2,0,2,0,0,0,0,0,0
2020/10/29,0,0,0,0,0,0,0,0,0
2020/10/30,0,0,0,0,0,0,0,0,0
2020/10/31,0,0,0,0,0,0,0,0,0
2020/11/1,0,0,0,0,0,0,0,0,0
2020/11/2,0,0,0,0,0,0,0,0,0
2020/11/3,0,0,0,0,0,0,0,0,0
2020/11/4,0,0,0,0,0,0,0,0,0
2020/11/5,0,0,0,0,0,0,0,0,0
2020/11/6,0,0,0,0,0,0,0,0,0
2020/11/7,0,0,0,0,0,0,0,0,0
2020/11/8,0,0,0,0,0,0,0,0,0
2020/11/9,0,0,0,0,0,0,0,0,0
2020/11/10,0,0,0,0,0,0,0,0,0
2020/11/11,0,0,0,0,0,0,0,0,0
2020/11/12,0,0,0,0,0,0,0,0,0
2020/11/13,0,0,0,0,0,0,0,0,0
2020/11/14,0,0,0,0,0,0,0,0,0
2020/11/15,0,0,0,0,0,0,0,0,0
2020/11/16,0,0,0,0,0,0,0,0,0
2020/11/17,0,0,0,0,0,0,0,0,0
2020/11/18,0,0,0,0,0,0,0,0,0
2020/11/19,0,0,0,0,0,0,0,0,0
2020/11/20,0,0,0,0,0,0,0,0,0
2020/11/21,0,0,0,0,0,0,0,0,0
2020/11/22,0,0,0,0,0,0,0,0,0
2020/11/23,0,0,0,0,0,0,0,0,0
2020/11/24,0,0,0,0,0,0,0,0,0
2020/11/25,0,0,0,0,0,0,0,0,0
2020/11/26,0,0,0,0,0,0,0,0,0
2020/11/27,0,0,0,0,0,0,0,0,0
2020/11/28,0,0,0,0,0,0,0,0,0
2020/11/29,0,0,0,0,0,0,0,0,0
2020/11/30,1,0,1,0,0,0,0,0,0
2020/12/1,0,0,0,0,0,0,0,0,0
2020/12/2,0,0,0,0,0,0,0,0,0
2020/12/3,0,0,0,0,0,0,0,0,0
2020/12/4,0,0,0,0,0,0,0,0,0
2020/12/5,0,0,0,0,0,0,0,0,0
2020/12/6,0,0,0,0,0,0,0,0,0
2020/12/7,0,0,0,0,0,0,0,0,0
2020/12/8,0,0,0,0,0,0,0,0,0
2020/12/9,0,0,0,0,0,0,0,0,0
2020/12/10,0,0,0,0,0,0,0,0,0
2020/12/11,0,0,0,0,0,0,0,0,0
2020/12/12,0,0,0,0,0,0,0,0,0
2020/12/13,0,0,0,0,0,0,0,0,0
2020/12/14,0,0,0,0,0,0,0,0,0
2020/12/15,0,0,0,0,0,0,0,0,0
2020/12/16,0,0,0,0,0,0,0,0,0
2020/12/17,0,0,0,0,0,0,0,0,0
2020/12/18,0,0,0,0,0,0,0,0,0
2020/12/19,0,0,0,0,0,0,0,0,0
2020/12/20,0,0,0,0,0,0,0,0,0
2020/12/21,0,0,0,0,0,0,0,0,0
2020/12/22,0,0,0,0,0,0,0,0,0
2020/12/23,0,0,0,0,0,0,0,0,0
2020/12/24,0,0,0,0,0,0,0,0,0
2020/12/25,0,0,0,0,0,0,0,0,0
2020/12/26,0,0,0,0,0,0,0,0,0
2020/12/27,0,0,0,0,0,0,0,0,0
2020/12/28,1,1,0,0,0,0,0,0,0
2020/12/29,0,0,0,0,0,0,0,0,0
2020/12/30,0,0,0,0,0,0,0,0,0
2020/12/31,0,0,0,0,0,0,0,0,0
2021/1/1,0,0,0,0,0,0,0,0,0
2021/1/2,0,0,0,0,0,0,0,0,0
2021/1/3,0,0,0,0,0,0,0,0,0
2021/1/4,0,0,0,0,0,0,0,0,0
2021/1/5,0,0,0,0,0,0,0,0,0
2021/1/6,0,0,0,0,0,0,0,0,0
2021/1/7,0,0,0,0,0,0,0,0,0
2021/1/8,0,0,0,0,0,0,0,0,0
2021/1/9,0,0,0,0,0,0,0,0,0
2021/1/10,0,0,0,0,0,0,0,0,0
2021/1/11,0,0,0,0,0,0,0,0,0
2021/1/12,0,0,0,0,0,0,0,0,0
2021/1/13,0,0,0,0,0,0,0,0,0
2021/1/14,0,0,0,0,0,0,0,0,0
2021/1/15,0,0,0,0,0,0,0,0,0
2021/1/16,0,0,0,0,0,0,0,0,0
2021/1/17,0,0,0,0,0,0,0,0,0
2021/1/18,0,0,0,0,0,0,0,0,0
2021/1/19,0,0,0,0,0,0,0,0,0
2021/1/20,0,0,0,0,0,0,0,0,0
2021/1/21,0,0,0,0,0,0,0,0,0
2021/1/22,0,0,0,0,0,0,0,0,0
2021/1/23,0,0,0,0,0,0,0,0,0
2021/1/24,0,0,0,0,0,0,0,0,0
2021/1/25,0,0,0,0,0,0,0,0,0
2021/1/26,0,0,0,0,0,0,0,0,0
2021/1/27,0,0,0,0,0,0,0,0,0
2021/1/28,0,0,0,0,0,0,0,0,0
2021/1/29,0,0,0,0,0,0,0,0,0
2021/1/30,0,0,0,0,0,0,0,0,0
2021/1/31,0,0,0,0,0,0,0,0,0
2021/2/1,0,0,0,0,0,0,0,0,0
2021/2/2,0,0,0,0,0,0,0,0,0
2021/2/3,0,0,0,0,0,0,0,0,0
2021/2/4,0,0,0,0,0,0,0,0,0
2021/2/5,0,0,0,0,0,0,0,0,0
2021/2/6,0,0,0,0,0,0,0,0,0
2021/2/7,0,0,0,0,0,0,0,0,0
2021/2/8,0,0,0,0,0,0,0,0,0
2021/2/9,0,0,0,0,0,0,0,0,0
2021/2/10,0,0,0,0,0,0,0,0,0
2021/2/11,0,0,0,0,0,0,0,0,0
2021/2/12,0,0,0,0,0,0,0,0,0
2021/2/13,0,0,0,0,0,0,0,0,0
2021/2/14,0,0,0,0,0,0,0,0,0
2021/2/15,0,0,0,0,0,0,0,0,0
2021/2/16,0,0,0,0,0,0,0,0,0
2021/2/17,0,0,0,0,0,0,0,0,0
2021/2/18,0,0,0,0,0,0,0,0,0
2021/2/19,0,0,0,0,0,0,0,0,0
2021/2/20,0,0,0,0,0,0,0,0,0
2021/2/21,0,0,0,0,0,0,0,0,0
2021/2/22,0,0,0,0,0,0,0,0,0
2021/2/23,0,0,0,0,0,0,0,0,0
2021/2/24,0,0,0,0,0,0,0,0,0
2021/2/25,0,0,0,0,0,0,0,0,0
2021/2/26,0,0,0,0,0,0,0,0,0
2021/2/27,0,0,0,0,0,0,0,0,0
2021/2/28,0,0,0,0,0,0,0,0,0
2021/3/1,0,0,0,0,0,0,0,0,0
2021/3/2,0,0,0,0,0,0,0,0,0
2021/3/3,0,0,0,0,0,0,0,0,0
2021/3/5,0,0,0,0,0,0,0,0,0
2021/3/5,0,0,0,0,0,0,0,0,0
2021/3/6,0,0,0,0,0,0,0,0,0
2021/3/7,0,0,0,0,0,0,0,0,0
2021/3/8,0,0,0,0,0,0,0,0,0
2021/3/9,0,0,0,0,0,0,0,0,0
2021/3/10,0,0,0,0,0,0,0,0,0
2021/3/11,0,0,0,0,0,0,0,0,0
2021/3/12,0,0,0,0,0,0,0,0,0
2021/3/13,0,0,0,0,0,0,0,0,0
2021/3/14,0,0,0,0,0,0,0,0,0
2021/3/15,0,0,0,0,0,0,0,0,0
2021/3/16,0,0,0,0,0,0,0,0,0
2021/3/17,0,0,0,0,0,0,0,0,0
2021/3/18,0,0,0,0,0,0,0,0,0
2021/3/19,0,0,0,0,0,0,0,0,0
2021/3/20,0,0,0,0,0,0,0,0,0
2021/3/21,0,0,0,0,0,0,0,0,0
2021/3/22,0,0,0,0,0,0,0,0,0
2021/3/23,0,0,0,0,0,0,0,0,0
2021/3/24,0,0,0,0,0,0,0,0,0
2021/3/25,0,0,0,0,0,0,0,0,0
2021/3/26,0,0,0,0,0,0,0,0,0
2021/3/27,0,0,0,0,0,0,0,0,0
2021/3/28,0,0,0,0,0,0,0,0,0
2021/3/29,0,0,0,0,0,0,0,0,0
2021/3/30,0,0,0,0,0,0,0,0,0
2021/3/31,0,0,0,0,0,0,0,0,0
2021/4/1,0,0,0,0,0,0,0,0,0
2021/4/2,0,0,0,0,0,0,0,0,0
2021/4/3,0,0,0,0,0,0,0,0,0
2021/4/4,0,0,0,0,0,0,0,0,0
2021/4/5,0,0,0,0,0,0,0,0,0
2021/4/6,0,0,0,0,0,0,0,0,0
2021/4/7,0,0,0,0,0,0,0,0,0
2021/4/8,0,0,0,0,0,0,0,0,0
2021/4/9,0,0,0,0,0,0,0,0,0
2021/4/10,0,0,0,0,0,0,0,0,0
2021/4/11,0,0,0,0,0,0,0,0,0
2021/4/12,0,0,0,0,0,0,0,0,0
2021/4/13,1,0,0,1,0,0,0,0,0
2021/4/14,0,0,0,0,0,0,0,0,0
2021/4/15,0,0,0,0,0,0,0,0,0
2021/4/16,0,0,0,0,0,0,0,0,0
2021/4/17,0,0,0,0,0,0,0,0,0
2021/4/18,0,0,0,0,0,0,0,0,0
2021/4/19,0,0,0,0,0,0,0,0,0
2021/4/20,0,0,0,0,0,0,0,0,0
2021/4/21,0,0,0,0,0,0,0,0,0
2021/4/22,0,0,0,0,0,0,0,0,0
2021/4/23,0,0,0,0,0,0,0,0,0
2021/4/24,0,0,0,0,0,0,0,0,0
2021/4/25,0,0,0,0,0,0,0,0,0
2021/4/26,0,0,0,0,0,0,0,0,0
2021/4/27,0,0,0,0,0,0,0,0,0
2021/4/28,0,0,0,0,0,0,0,0,0
2021/4/29,0,0,0,0,0,0,0,0,0
2021/4/30,0,0,0,0,0,0,0,0,0
2021/5/1,0,0,0,0,0,0,0,0,0
2021/5/2,0,0,0,0,0,0,0,0,0
2021/5/3,0,0,0,0,0,0,0,0,0
2021/5/4,0,0,0,0,0,0,0,0,0
2021/5/5,0,0,0,0,0,0,0,0,0
2021/5/6,0,0,0,0,0,0,0,0,0
2021/5/7,0,0,0,0,0,0,0,0,0
2021/5/8,0,0,0,0,0,0,0,0,0
2021/5/9,0,0,0,0,0,0,0,0,0
2021/5/10,0,0,0,0,0,0,0,0,0
2021/5/11,0,0,0,0,0,0,0,0,0
2021/5/12,0,0,0,0,0,0,0,0,0
2021/5/13,0,0,0,0,0,0,0,0,0
2021/5/14,0,0,0,0,0,0,0,0,0
2021/5/15,0,0,0,0,0,0,0,0,0
2021/5/16,0,0,0,0,0,0,0,0,0
2021/5/17,0,0,0,0,0,0,0,0,0
2021/5/18,0,0,0,0,0,0,0,0,0
2021/5/19,0,0,0,0,0,0,0,0,0
2021/5/20,0,0,0,0,0,0,0,0,0
2021/5/21,0,0,0,0,0,0,0,0,0
2021/5/22,0,0,0,0,0,0,0,0,0
2021/5/23,0,0,0,0,0,0,0,0,0
2021/5/24,0,0,0,0,0,0,0,0,0
2021/5/25,0,0,0,0,0,0,0,0,0
2021/5/26,0,0,0,0,0,0,0,0,0
2021/5/27,0,0,0,0,0,0,0,0,0
2021/5/28,0,0,0,0,0,0,0,0,0
2021/5/29,0,0,0,0,0,0,0,0,0
2021/5/30,0,0,0,0,0,0,0,0,0
2021/5/31,0,0,0,0,0,0,0,0,0
2021/6/1,0,0,0,0,0,0,0,0,0
2021/6/2,0,0,0,0,0,0,0,0,0
2021/6/3,0,0,0,0,0,0,0,0,0
2021/6/4,0,0,0,0,0,0,0,0,0
2021/6/5,0,0,0,0,0,0,0,0,0
2021/6/6,0,0,0,0,0,0,0,0,0
2021/6/7,0,0,0,0,0,0,0,0,0
2021/6/8,0,0,0,0,0,0,0,0,0
2021/6/9,0,0,0,0,0,0,0,0,0
2021/6/10,0,0,0,0,0,0,0,0,0
2021/6/11,0,0,0,0,0,0,0,0,0
2021/6/12,0,0,0,0,0,0,0,0,0
2021/6/13,0,0,0,0,0,0,0,0,0
2021/6/14,0,0,0,0,0,0,0,0,0
2021/6/15,0,0,0,0,0,0,0,0,0
2021/6/16,0,0,0,0,0,0,0,0,0
2021/6/17,0,0,0,0,0,0,0,0,0
2021/6/18,0,0,0,0,0,0,0,0,0
2021/6/19,0,0,0,0,0,0,0,0,0
2021/6/20,0,0,0,0,0,0,0,0,0
2021/6/21,0,0,0,0,0,0,0,0,0
2021/6/22,0,0,0,0,0,0,0,0,0
2021/6/23,0,0,0,0,0,0,0,0,0
2021/6/24,0,0,0,0,0,0,0,0,0
2021/6/25,0,0,0,0,0,0,0,0,0
2021/6/26,0,0,0,0,0,0,0,0,0
2021/6/27,0,0,0,0,0,0,0,0,0
2021/6/28,0,0,0,0,0,0,0,0,0
2021/6/29,0,0,0,0,0,0,0,0,0
2021/6/30,0,0,0,0,0,0,0,0,0
2021/7/1,0,0,0,0,0,0,0,0,0
2021/7/2,0,0,0,0,0,0,0,0,0
2021/7/3,0,0,0,0,0,0,0,0,0
2021/7/4,0,0,0,0,0,0,0,0,0
2021/7/5,0,0,0,0,0,0,0,0,0
2021/7/6,0,0,0,0,0,0,0,0,0
2021/7/7,0,0,0,0,0,0,0,0,0
2021/7/8,0,0,0,0,0,0,0,0,0
2021/7/9,0,0,0,0,0,0,0,0,0
2021/7/10,0,0,0,0,0,0,0,0,0
2021/7/11,1,1,0,0,0,0,0,0,0
2021/7/12,0,0,0,0,0,0,0,0,0
2021/7/13,1,1,0,0,0,0,0,0,0
2021/7/14,0,0,0,0,0,0,0,0,0
2021/7/15,0,0,0,0,0,0,0,0,0
2021/7/16,0,0,0,0,0,0,0,0,0
2021/7/17,1,1,0,0,0,0,0,0,0
2021/7/18,1,1,0,0,0,0,0,0,0
2021/7/19,1,1,0,0,0,0,0,0,0
2021/7/20,0,0,0,0,0,0,0,0,0
2021/7/21,0,0,0,0,0,0,0,0,0
2021/7/22,0,0,0,0,0,0,0,0,0
2021/7/23,1,1,0,0,0,0,0,0,0
2021/7/24,0,0,0,0,0,0,0,0,0
2021/7/25,0,0,0,0,0,0,0,0,0
2021/7/26,2,2,0,0,0,0,0,0,0
2021/7/27,2,2,0,0,0,0,0,0,0
2021/7/28,1,1,0,0,0,0,0,0,0
2021/7/29,2,2,0,0,0,0,0,0,0
2021/7/30,0,0,0,0,0,0,0,0,0
2021/7/31,1,1,0,0,0,0,0,0,0
2021/8/1,0,0,0,0,0,0,0,0,0
2021/8/2,1,1,0,0,0,0,0,0,0
2021/8/3,0,0,0,0,0,0,0,0,0
2021/8/4,2,2,0,0,0,0,0,0,0
2021/8/5,5,5,0,0,0,0,0,0,0
2021/8/6,1,1,0,0,0,0,0,0,0
2021/8/7,5,5,0,0,0,0,0,0,0
2021/8/8,1,1,0,0,0,0,0,0,0
2021/8/9,0,0,0,0,0,0,0,0,0
